1.000000000000000000e+00,6.101017602908306969e+00
2.000000000000000000e+00,3.992173690571610223e+02
3.000000000000000000e+00,8.328657710470915845e+03
4.000000000000000000e+00,7.672495547684213670e+04
5.000000000000000000e+00,4.379582401797156781e+05
6.000000000000000000e+00,1.833356168955438770e+06
7.000000000000000000e+00,6.179246689448148943e+06
8.000000000000000000e+00,1.774963498257133737e+07
9.000000000000000000e+00,4.509506901115152985e+07
1.000000000000000000e+01,1.039566931779173613e+08
